track_name,track_artist,lyrics,track_album_release_date
"Everybody's Talkin' - From ""Midnight Cowboy""",Harry Nilsson,"Everybody's talkin' at me I don't hear a word they're sayin' Only the echoes of my mind People stoppin', starin' I can't see their faces Only the shadows of their eyes I'm going where the sun keeps shinin' Through the pouring rain Going where the weather suits my clothes Banking off of the northeast winds Sailing on a summer breeze And skipping over the ocean like a stone Wohm, wohm, wohm, wohm Wohm, wohm, wohm, wohm, wohm Wohm I'm going where the sun keeps shinin' Through the pouring rain Going where the weather suits my clothes Banking off of the northeast winds Sailing on a summer breeze And skipping over the ocean like a stone Everybody's talkin' at me Can't hear a word they're sayin' Only the echoes of my mind I won't let you leave my love behind No I won't let you leave Wohm, wha, ah I won't let you leave my love behind I won't let you leave",1967
Without You,Harry Nilsson,"No, I can't forget this evening Or your face as you were leaving But I guess that's just the way the story goes You always smile but in your eyes your sorrow shows Yes, it shows No, I can't forget tomorrow When I think of all my sorrow When I had you there but then I let you go And now it's only fair that I should let you know What you should know I can't live if living is without you I can't live, I can't give anymore I can't live if living is without you I can't give, I can't give anymore Well, I can't forget this evening Or your face as you were leaving But I guess that's just the way the story goes You always smile but in your eyes your sorrow shows Yes, it shows Can't live if living is without you I can't live, I can't give anymore I can't live if living is without you I can't live, I can't give anymore Living is without you",1967
Back Door Santa,Clarence Carter,"They call me Back Door Santa I make my runs about the break of day They call me Back Door Santa I make my runs about the break of day (oh, ho, ho) I make all the little girls happy While the boys are out to play (Lookie here) I ain't like old Saint Nick He don't come but once a year (oh, ho, ho, ho) I ain't like old Saint Nick He don't come but once a year (But lookie here) I come running with my presents Every time you call me dear (Lookie here) I keep some change in my pocket In case the children at home I give them a few pennies So that we can be alone I leave the back door open So if anybody smells a mouse And wouldn't old Santa be in trouble If there ain't no chimney in the house They call me Back Door Santa I make my runs about the break of day (Lookie here) I make all the little girls happy While the boys are out to play That's what they call me, Back Door Santa That's what they call me They call me Back Door Santa That's what all the girls call me I give 'em all little presents And that's what the call me They call me Back Door Santa And I like for them to call me that The call me Back Door Santa And I like it, I like it, I like it, I like it",1968
The Pusher,Steppenwolf,"You know I've smoked a lot of grass O' Lord, I've popped a lot of pills But I never touched nothin' That my spirit could kill You know, I've seen a lot of people walkin' 'round With tombstones in their eyes But the pusher don't care Ah, if you live or if you die God damn, the pusher God damn, I say the pusher I said God damn God damn the pusher man You know the dealer, the dealer is a man With the love grass in his hand Oh but the pusher is a monster Good God, he's not a natural man The dealer for a nickel Lord, will sell you lots of sweet dreams Ah, but the pusher ruin your body Lord, he'll leave your He'll leave your mind to scream God damn, the pusher God damn, God damn the pusher I said God damn God, God damn the pusher man Well, now if I were the president of this land You know, I'd declare total war on the pusher man I'd cut him if he stands, and I'd shoot him if he'd run Yes, I'd kill him with my Bible and my razor and my gun God damn the pusher God damn the pusher I said God damn God damn the pusher man... You know I've smoked a lot of grass O' Lord, I've popped a lot of pills But I never touched nothin' That my spirit could kill You know, I've seen a lot of people walkin' 'round With tombstones in their eyes But the pusher don't care Ah, if you live or if you die God damn, the pusher God damn, I say the pusher I said God damn God damn the pusher man You know the dealer, the dealer is a man With the love grass in his hand Oh but the pusher is a monster Good God, he's not a natural man The dealer for a nickel Lord, will sell you lots of sweet dreams Ah, but the pusher ruin your body Lord, he'll leave your He'll leave your mind to scream God damn, the pusher God damn, God damn the pusher I said God damn God, God damn the pusher man Well, now if I were the president of this land You know, I'd declare total war on the pusher man I'd cut him if he stands, and I'd shoot him if he'd run Yes, I'd kill him with my Bible and my razor and my gun God damn the pusher God damn the pusher I said God damn God damn the pusher man...",1968
Born To Be Wild,Steppenwolf,"Get your motor runnin' Head out on the highway Looking for adventure In whatever comes our way Yea darlin', gonna make it happen Take the world in a love embrace Fire all of your guns at once And explode into space I like smoke and lightnin'Heavy metal thunder Racing with the wind And the feeling that I'm under Yea darlin', gonna make it happen Take the world in a love embrace Fire all of your guns at once And explode into space Like a true nature child We were born, born to be wild We can climb so high I never wanna die Born to be wild Born to be wild NA Get your motor runnin' Head out on the highway Looking for adventure In whatever comes our way Yea darlin', gonna make it happen Take the world in a love embrace Fire all of your guns at once And explode into space Like a true nature child We were born, born to be wild We can climb so high I never wanna die Born to be wild Born to be wild Get your motor runnin' Head out on the highway Looking for adventure In whatever comes our way Yea darlin', gonna make it happen Take the world in a love embrace Fire all of your guns at once And explode into space I like smoke and lightnin'Heavy metal thunder Racing with the wind And the feeling that I'm under Yea darlin', gonna make it happen Take the world in a love embrace Fire all of your guns at once And explode into space Like a true nature child We were born, born to be wild We can climb so high I never wanna die Born to be wild Born to be wild NA Get your motor runnin' Head out on the highway Looking for adventure In whatever comes our way Yea darlin', gonna make it happen Take the world in a love embrace Fire all of your guns at once And explode into space Like a true nature child We were born, born to be wild We can climb so high I never wanna die Born to be wild Born to be wild Get your motor runnin' Head out on the highway Looking for adventure In whatever comes our way Yea darlin', gonna make it happen Take the world in a love embrace Fire all of your guns at once And explode into space I like smoke and lightnin'Heavy metal thunder Racing with the wind And the feeling that I'm under Yea darlin', gonna make it happen Take the world in a love embrace Fire all of your guns at once And explode into space Like a true nature child We were born, born to be wild We can climb so high I never wanna die Born to be wild Born to be wild NA Get your motor runnin' Head out on the highway Looking for adventure In whatever comes our way Yea darlin', gonna make it happen Take the world in a love embrace Fire all of your guns at once And explode into space Like a true nature child We were born, born to be wild We can climb so high I never wanna die Born to be wild Born to be wild",1968
Slip Away,Clarence Carter,"What would I give for just a few moments What would I give just to have you near Tell me you will try to slip away somehow Oh, I need you darling, I want to see you right now Can you slip away, slip away, slip away, yeah Oh, I need you so Love, oh love, how sweet it is When you're still in, darling, let me tell you something now How sweet it is Now I know it's wrong, the things I ask you to do But please believe me darling, I don't mean to hurt you But could you just slip away without him knowing you're gone Then we could meet somewhere, somewhere where we're both unknown Can you just, can you slip away, slip away, slip away, yeah I need you so Oh, can you slip away, baby I'd like to see you right now, darling Can you slip away now, baby 'Cause I got to, I got to see you I feel a deep burning inside",1968
Whipping Post,The Allman Brothers Band,"I've been rundown I've been lied to I don't know why I let that mean woman make me a fool She took all my money Wrecked my new car Now she's with one of my good-time buddies They're drinking in some cross-town bar Sometimes I feel Sometimes I feel Like I've been tied To the whipping post Tied to the whipping post Tied to the whipping post Good Lord, I feel like I'm dying My friends tell me That I've been such a fool And I have to stand down and take it, babe All for loving you I drown myself in sorrow As I look at what you've done Nothing seems to change Bad times stay the same And I can't run Sometimes I feel Sometimes I feel Like I've been tied To the whipping post Tied to the whipping post Tied to the whipping post Good Lord, I feel like I'm dying Sometimes I feel Sometimes I feel Like I've been tied To the whipping post Tied to the whipping post Tied to the whipping post Good Lord, I feel like I'm dying",1969
Cissy Strut,The Meters,NA,1969
Can I Change My Mind,Tyrone Davis,"Aww, she didn't bat an eye As I packed my bags to leave I thought she would start to cry Or sit around my room and grieve But y'all, the girl She fooled me this time She acted like I was The last thing on her mind I would like to start all over again Baby, can I change my mind I just wanna change my mind Baby, let me change my mind As I took those steps Toward that open door Knowing all the time Oh, Lord, I just didn't wanna go But she didn't give me no sign Nothing that would Make me change my mind I would like to start all over again Baby, can I change my mind Please, please, please, baby I just wanna change my mind Oh, I played my games Many times before But, peoples, let me tell y'all Oh, I never reached the door But, ooh, the winds howl tonight I keep looking back but My baby's not in sight I would like to start all over again Baby, can I change my mind Please, please, please, baby Baby, let me change my mind",1969
Pale Blue Eyes,The Velvet Underground,"Sometimes I feel so happy Sometimes I feel so sad Sometimes I feel so happy But mostly you just make me mad Baby you just make me mad Linger on your pale blue eyes Linger on your pale blue eyes Thought of you as my mountain top Thought of you as my peak Thought of you as everything I've had but couldn't keep I've had but couldn't keep Linger on your pale blue eyes Linger on your pale blue eyes If I could make the world as pure And strange as what I see I'd put you in the mirror I put in front of me I put in front of me Linger on your pale blue eyes Linger on your pale blue eyes Skip a life completely Stuff it in a cup She said, ""Money is like us in time It lies but can't stand up Down for you is up"" Linger on your pale blue eyes Linger on your pale blue eyes It was good what we did yesterday And I'll do it once again The fact that you are married Only proves you're my best friend But it's truly, truly a sin Linger on your pale blue eyes Linger on your pale blue eyes",1969
Black Magic Woman - Single Version,Santana,"Got a black magic woman Got a black magic woman I got a black magic woman Got me so blind I can't see That she's a black magic woman She's tryin' to make a devil out of me Don't turn your back on me baby Don't turn your back on me baby Yes, don't turn your back on me baby Stop messin' 'round with your tricks Don't turn your back on me baby You just might pick up my magic sticks Ah! Got your spell on me baby Got your spell on me baby Yes, you got your spell on me baby Turning my heart into stone I need you so bad, magic woman I can't leave you alone",1969
Evil Ways,Santana,"{Intro}You've got to change your evil ways, baby Before I stop lovin' you You've got to change, baby And every word that I say is true You got me runnin' and hidin' all over town You got me sneakin' and a-peepin' and runnin' you down This can't go on, Lord knows you got to change, baby When I come home, baby My house is dark and my pots are cold You're hangin' round, baby With Jean and Joan and-a who knows who I'm gettin' tired of waitin' and foolin' around I'll find somebody who won't make me feel like a clown This can't go on, Lord knows you got to change, baby{Bridge}When I come home, baby My house is dark and my pots are cold You're hangin' round, baby With Jean and Joan and-a who knows who I'm gettin' tired of waitin' and foolin' around I'll find somebody who won't make me feel like a clown This can't go on, yeh yeh yeh{Outro}",1969
Crystal Blue Persuasion (45 Version),Tommy James & The Shondells,"Look over yonder What do you see? The sun is a-rising Most definitely A new day is coming (whoo-hoo!) People are changing Ain't it beautiful? (whoo-hoo!) Crystal Blue Persuasion Better get ready Gonna see the light Love, love is the answer (whoo-hoo!) And that's alright So don't you give up now (whoo-hoo!) So easy to find Just look to your soul (look to your soul!) And open your mind NA Crystal Blue Persuasion, Mm-hmm It's a new vibration Crystal Blue Persuasion, Crystal Blue Persuasion Maybe tomorrow When he looks down In every green field (whoo-hoo!) And every town All of his children In every nation There'll be, Peace and Good Brotherhood Crystal Blue Persuasion, Yeah Crystal Blue Persuasion, ah-ha! Crystal Blue Persuasion, ah-ha! Crystal Blue Persuasion, ah-ha! Oh! Crystal Blue Persuasion, ah-ha! Crystal Blue Persuasion, ah-ha! Crystal Blue Persuasion, ah-ha! Crystal Blue Persuasion, ah-ha!",1969
Oh! Sweet Nuthin' - 2015 Remastered,The Velvet Underground,"Say a word for Jimmy Brown He ain't got nothing at all He knocked the shirt right of his back He ain't got nothing at all And say a word for Ginger Brown He walks with his head down to the ground Took the shoes right off his feet And threw the poor boy right out in the street And this is what he said: Oh, sweet nuthin' She ain't got nothing at all Oh, sweet nuthin' She ain't got nothing at all Say a word for Polly May She can't tell the night from the day They threw her out in the street Just like a cat she landed on her feet And say a word for Joana Love She ain't got nothing at all With every day she falls in love And every night she falls And when she does she says: Oh, sweet nuthin' You know She ain't got nothing at all Woe oh, sweet nuthin' She ain't got nothing at all Oh, let me hear you Oh, say a word, say a word for Jimmy Brown He ain't got nothing at all, not a thing And not a shirt, shirt on his back No, he ain't got nothing at all And say a word for Ginger He walks with his head to the ground He took the shoes, took the shoes from his feet, from his feet And threw the poor boy out into the street And then he said: Oh, sweet sweet nuthin' She ain't got, she ain't got, she ain't got nothing at all Sweet sweet sweet sweet nuthin' She ain't got Sweet sweet nothing Sweet nothing at all Sweet sweet nothing got nothing Oh, sweet nuthin' Oh, oh, sweet nuthin' at all Oh, let me hear you Oh, sweet nuthin' She ain't got nothing at all She ain't got nothing at all She ain't got nothing at all She ain't got nothing at all She ain't got nothing at all She ain't got nothing at all Sweet nuthin' She ain't got nothing at all Sweet sweet nuthin' She ain't got nothing at all",1970
Ride Captain Ride - Single Version,Blues Image,"{Intro}Seventy-three men sailed up from the San Francisco Bay Rolled off of their ship, and here's what they had to say""We're callin' everyone to ride along to another shore We can laugh our lives away and be free once more"" But no one heard them callin', no one came at all Cause they were too busy watchin' those old raindrops fall As a storm was blowin' out on the peaceful sea Seventy-three men sailed off to history Ride, captain ride upon your mystery ship Be amazed at the friends you have here on your trip Ride captain ride upon your mystery ship On your way to a world that others might have missed{Bridge} Seventy-three men sailed up from the San Francisco Bay Rolled off of their ship, and here's what they had to say ""We're callin' everyone to ride along to another shore We can laugh our lives away and be free once more""But no one heard them callin', no one came at all Cause they were too busy watchin' those old raindrops fall As a storm was blowin' out on the peaceful sea Seventy-three men sailed off to history Ride, captain ride upon your mystery ship Be amazed at the friends you have here on your trip Ride captain ride upon your mystery ship On your way to a world that others might have missed Ride, captain ride upon your mystery ship Be amazed at the friends you have here on your trip {Outro}",1970
Rock & Roll - 2015 Remastered Full Length Version,The Velvet Underground,"Jennie said when she was just five years old There was nothin' happenin' at all Every time she puts on a radio There was nothin' goin' down at all Not at all Then one fine mornin' she puts on a New York station You know she don't believe what she heard at all She started shakin' to that fine, fine music You know her life was saved by rock 'n' roll Despite all the amputations You know you could just go out And dance to the rock 'n' roll station It was all right (It was alright) Hey baby, you know it was alright (It was alright) Jennie said when she was just 'bout five years old You know my parents gonna be the death of us all Two TV sets and two Cadillac cars Well you know, it ain't gonna help me at all Naw, just a tiny bit Then one fine mornin' She turns on a New York station She doesn't believe what she hears at all Ooooh, she started dancin' to that fine, fine music You know her life is saved by Rock 'n' roll Yeah, rock 'n' roll Despite all the computations You could just dance a to that rock 'n' roll station And baby it was alright (It was alright) Hey it was alright (It was alright) Hey here she comes now! Jump! Jump! And Jennie said when she was just 'bout five years old Hey, you know, there was nothing happening at all Not at all, every time I put on the radio You know there's nothin' goin' down at all, not at all But one fine mornin' she hears a New York station She just didn't believe what she heard at all, hey, not at all She started dancin' to that fine, fine music You know her life is saved by rock 'n' roll Yes, rock 'n' roll Oooh, despite all the computations You know you could just dance to a rock 'n' roll station Alright Alright And it was all right Well listen to me now And it was alright C'mon now Listen It was alright It was alright And it was alright (Alright) It's alright (Alright) Yeah, it's alright now (Alright) Yeah, it's alright now (Alright) It is all alright (Alright) Yeah, alright now (Alright) And it's alright right now (Alright) And it's alright now (Alright) Oh baby (Alright) Oh baby (Alright) Oh baby (Alright) Yeah, yeah, yeah, yeah (Alright) Now it's alright now (Alright) Ooh, it's alright now (Alright) Oh, alright (Alright) Alright now (Alright)",1970
Express Yourself,Charles Wright & The Watts 103rd Street Rhythm Band,"Express Yourself! Express Yourself! You don't never need help from nobody else All you got to do now: Express Yourself! What ever you do, uh, do it good, uh What ever you do, do , do, Lord, Lord, do it good All right...It's not what you look like, when you're doin' what you're doin' It's what you're doin' when you're doin' what you look like you're doin'! Express Yourself! Express Yourself! They're doin' it on the moon, yeah, uh In the jungle too, uh Everybody on the floor, now, uh Jumpin' like a kangaroo So let the horns do the thing they do, yo...ah, uh, ow! Uh-uh uh uh Some people have everything, and other people don't But everything don't mean a thing if it ain't the thing you want Express Yourself! Express Yourself! Oh, do it! Oh, do it Do it to it, go on and do it Yo, do it, give Express Yourself! Express Yourself Uh! Uh, express yourself, uh express yourself Uh express yourself Uh express yourself Express yourself Express yourself Express yourself",1970
Mississippi Queen,Mountain,"Mississippi queen If you know what I mean Mississippi queen She taught me everything Way down around Vicksburg, around Louisiana way There lived the Cajun lady aboard the Mississippi Queen You know she was a dancer, she moved better on wine While the rest of them dudes were getting their kicks Boy, I beg your pardon, I was getting mine Mississippi queen If you know what I mean Mississippi queen She taught me everything This lady she asked me if I would be her man You know that I told her I'd do what I can To keep her looking pretty, buy her dresses that shine While the rest of them dudes were making their friends Boy, I beg your pardon, I was losing mine NA You know she was a dancer, she moved better on wine While the rest of them dudes were getting their kicks Boy, I beg your pardon, I was getting mine Oh, Mississippi Queen Mississippi queen If you know what I mean Mississippi queen She taught me everything Way down around Vicksburg, around Louisiana way There lived the Cajun lady aboard the Mississippi Queen You know she was a dancer, she moved better on wine While the rest of them dudes were getting their kicks Boy, I beg your pardon, I was getting mine Mississippi queen If you know what I mean Mississippi queen She taught me everything This lady she asked me if I would be her man You know that I told her I'd do what I can To keep her looking pretty, buy her dresses that shine While the rest of them dudes were making their friends Boy, I beg your pardon, I was losing mine NA You know she was a dancer, she moved better on wine While the rest of them dudes were getting their kicks Boy, I beg your pardon, I was getting mine Oh, Mississippi Queen Mississippi queen If you know what I mean Mississippi queen She taught me everything Way down around Vicksburg, around Louisiana way There lived the Cajun lady aboard the Mississippi Queen You know she was a dancer, she moved better on wine While the rest of them dudes were getting their kicks Boy, I beg your pardon, I was getting mine Mississippi queen If you know what I mean Mississippi queen She taught me everything This lady she asked me if I would be her man You know that I told her I'd do what I can To keep her looking pretty, buy her dresses that shine While the rest of them dudes were making their friends Boy, I beg your pardon, I was losing mine NA You know she was a dancer, she moved better on wine While the rest of them dudes were getting their kicks Boy, I beg your pardon, I was getting mine Oh, Mississippi Queen",1970
Brown Sugar,ZZ Top,"My friends, they all told me Man, there's something going to change your life My friends, they all told me Man, there's something going to change your life Got to have that brown sugar Man it's just going to change my life Man, I got to have that brown sugar Man, it's just going to make me feel so right There's something make me feel good And it's going to change my life There's something make me feel good And it's going to change my life I got to have some of that Brown Sugar Got to try it before I die Man, it sure does save me When there's no place left for me Man, it sure does save me When there's no place left for me Got to have some of that Brown Sugar As long as that's going to set me free There's something make me feel good And it's going to change my life There's something make me feel good And it's going to change my life I got to have some of that Brown Sugar Got to try it before I die",1970
Immigrant Song - Remaster,Led Zeppelin,"(2, 3, 4) Ahh! Ahh!We come from the land of the ice and snow From the midnight sun where the hot springs flow The hammer of the gods Will drive our ships to new lands To fight the horde, sing and cry Valhalla, I am coming On we sweep with threshing oar Our only goal will be the western shore Ahh! Ahh!We come from the land of the ice and snow From the midnight sun where the hot springs flow How soft your fields so green Can whisper tales of gore Of how we calmed the tides of war We are your overlords On we sweep with threshing oar Our only goal will be the western shore So now you'd better stop And rebuild all your ruins For peace and trust can win the day Despite of all your losing (2, 3, 4) Ahh! Ahh!We come from the land of the ice and snow From the midnight sun where the hot springs flow The hammer of the gods Will drive our ships to new lands To fight the horde, sing and cry Valhalla, I am coming On we sweep with threshing oar Our only goal will be the western shore Ahh! Ahh!We come from the land of the ice and snow From the midnight sun where the hot springs flow How soft your fields so green Can whisper tales of gore Of how we calmed the tides of war We are your overlords On we sweep with threshing oar Our only goal will be the western shore So now you'd better stop And rebuild all your ruins For peace and trust can win the day Despite of all your losing (2, 3, 4) Ahh! Ahh!We come from the land of the ice and snow From the midnight sun where the hot springs flow The hammer of the gods Will drive our ships to new lands To fight the horde, sing and cry Valhalla, I am coming On we sweep with threshing oar Our only goal will be the western shore Ahh! Ahh!We come from the land of the ice and snow From the midnight sun where the hot springs flow How soft your fields so green Can whisper tales of gore Of how we calmed the tides of war We are your overlords On we sweep with threshing oar Our only goal will be the western shore So now you'd better stop And rebuild all your ruins For peace and trust can win the day Despite of all your losing",1970
Casey Jones - 2013 Remaster,Grateful Dead,"Driving that train, high on cocaine Casey Jones you better, watch your speed Trouble ahead, trouble behind And you know that notion just crossed my mind This old engine Makes it on time Leaves Central Station At a quarter to nine Hits river junction At seventeen to At a quarter to ten You know it's traveling again Driving that train High on cocaine Casey Jones you better Watch your speed Trouble ahead Trouble behind And you know that notion Just crossed my mind Trouble ahead A lady in red Take my advice You'd be better off dead Switch-man sleeping Train hundred and two Is on the wrong track And headed for you Driving that train, high on cocaine Casey Jones you better, watch your speed Trouble ahead, trouble behind And you know that notion just crossed my mind Trouble with you is The trouble with me Got two good eyes But we still don't see Come round the bend You know it's the end The fireman screams and The engine just gleams Driving that train, high on cocaine Casey Jones you better, watch your speed Trouble ahead, trouble behind And you know that notion just crossed my mind Driving that train, high on cocaine Casey Jones you better, watch your speed Trouble ahead, trouble behind And you know that notion just crossed my mind And you know that notion Just crossed my mind",1970
Make It with You,Bread,"Hey, have you ever tried Really reaching out for the other side I may be climbing on rainbows But baby, here goes Dreams they're for those who sleep Life is for us to keep And if you're wondering What this song is leading to I want to make it with you I really think that We can make it, girl No you don't know me well And every little thing Only time will tell If you believe the things that I do And we'll see it through Life can be short or long Love can be right or wrong And if I chose the one I'd like to help me through I'd like to make it with you I really think that We can make it, girl Baby, you know that Dreams, they're for those who sleep Life, it's for us to keep And if I choose the one I'd like to help me through I'd like to make it with you I really think that We could make it, girl",1970
